date,portfolio_usd,eurusd,portfolio_eur,cash_usd,riskoff,AGG_shares,AGG_px,AGG_val_usd,ARCC_shares,ARCC_px,ARCC_val_usd,BIL_shares,BIL_px,BIL_val_usd,BND_shares,BND_px,BND_val_usd,BST_shares,BST_px,BST_val_usd,BXSL_shares,BXSL_px,BXSL_val_usd,DIVO_shares,DIVO_px,DIVO_val_usd,JEPI_shares,JEPI_px,JEPI_val_usd,JEPQ_shares,JEPQ_px,JEPQ_val_usd,MAIN_shares,MAIN_px,MAIN_val_usd,OBDC_shares,OBDC_px,OBDC_val_usd,SGOV_shares,SGOV_px,SGOV_val_usd,SHV_shares,SHV_px,SHV_val_usd,BM_SPY_px,BM_VNQ_px,BM_BND_px
2022-12-05,421008.40367432905,1.0544185638427734,399280.15127122373,-1.4210854715202004e-14,0,0.0,88.5101089477539,0.0,4484.425871455598,14.082353591918945,63151.270778586986,0.0,79.22709655761719,0.0,0.0,65.39250946044922,0.0,871.4400115103523,24.155906677246094,21050.42359286233,3665.8607899837657,17.22686004638672,63151.270778586986,1332.4229347602131,31.597209930419922,42100.84718572466,1441.1333429423744,43.820560455322266,63151.27077858699,1331.5382186215463,31.61820411682129,42100.84718572466,2884.938707455879,29.186649322509766,84201.69437144932,4759.474337039364,8.845678329467773,42100.7790028071,0.0,87.03372955322266,0.0,0.0,95.71517944335938,0.0,383.486083984375,75.87881469726562,65.39250946044922
2022-12-06,414590.3829288598,1.0496923923492432,394963.69217366056,-1.4210854715202004e-14,0,0.0,88.77064514160156,0.0,4484.425871455598,13.693421363830566,61407.133032704594,0.0,79.25311279296875,0.0,0.0,65.60778045654297,0.0,871.4400115103523,23.48985481262207,20469.99934828788,3665.8607899837657,17.14629364013672,62855.92554892521,1332.4229347602131,31.355022430419922,41778.15100621242,1441.1333429423744,43.54628372192383,62756.00143289319,1331.5382186215463,31.205698013305664,41551.579543478954,2884.938707455879,28.696186065673828,82786.73793721847,4759.474337039364,8.611214637756348,40984.855079139066,0.0,87.05108642578125,0.0,0.0,95.73261260986328,0.0,377.9582214355469,75.16439056396484,65.60778045654297
2022-12-07,414795.78798064735,1.0469011068344116,396212.961542179,-1.4210854715202004e-14,0,0.0,89.56132507324219,0.0,4484.425871455598,13.766800880432129,61736.19803538755,0.0,79.25311279296875,0.0,0.0,66.18169403076172,0.0,871.4400115103523,23.48985481262207,20469.99934828788,3665.8607899837657,17.09502601623535,62667.985576669555,1332.4229347602131,31.33772087097168,41755.09801159647,1441.1333429423744,43.56979751586914,62789.887945366856,1331.5382186215463,31.118852615356445,41435.94157699817,2884.938707455879,28.696182250976562,82786.72693205066,4759.474337039364,8.646742820739746,41153.95055429019,0.0,87.04241943359375,0.0,0.0,95.76744842529297,0.0,377.3152160644531,75.31434631347656,66.18169403076172
2022-12-08,417215.6482339031,1.051325798034668,396847.1514860945,-1.4210854715202004e-14,0,0.0,89.29175567626953,0.0,4484.425871455598,13.913568496704102,62394.36653088945,0.0,79.30506134033203,0.0,0.0,65.9933853149414,0.0,871.4400115103523,24.062965393066406,20969.430839106997,3665.8607899837657,17.05107879638672,62506.88118659765,1332.4229347602131,31.553953170776367,42043.21088709218,1441.1333429423744,43.789215087890625,63106.09792443448,1331.5382186215463,31.386621475219727,41792.486047662846,2884.938707455879,28.751008987426758,82944.89870623931,4759.474337039364,8.710683822631836,41458.27611188017,0.0,87.08585357666016,0.0,0.0,95.80232238769531,0.0,380.2711486816406,75.84353637695312,65.9933853149414
2022-12-09,417231.08294262935,1.0559661388397217,395117.8618294295,-1.4210854715202004e-14,0,0.0,88.76165771484375,0.0,4484.425871455598,14.060338020324707,63052.5435797549,0.0,79.2964096069336,0.0,0.0,65.60778045654297,0.0,871.4400115103523,23.954540252685547,20874.94483352549,3665.8607899837657,17.073049545288086,62587.422893521754,1332.4229347602131,31.19932746887207,41570.69946861946,1441.1333429423744,43.53061294555664,62733.41775456064,1331.5382186215463,31.227420806884766,41580.50427334475,2884.938707455879,28.758832931518555,82967.4703053947,4759.474337039364,8.79594612121582,41864.079833907635,0.0,87.08585357666016,0.0,0.0,95.80232238769531,0.0,377.4303894042969,75.70242309570312,65.60778045654297
2022-12-12,420979.4393191191,1.0522217750549316,400086.2264014083,-1.4210854715202004e-14,0,0.0,88.7796401977539,0.0,4484.425871455598,14.097028732299805,63217.080357778155,0.0,79.30506134033203,0.0,0.0,65.60778045654297,0.0,871.4400115103523,24.310800552368164,21185.404313181592,3665.8607899837657,17.11699867248535,62748.53427566822,1332.4229347602131,31.56261444091797,42054.751362073,1441.1333429423744,44.071319580078125,63512.64811431971,1331.5382186215463,31.639917373657227,42129.75921705246,2884.938707455879,29.291406631469727,84503.91278695683,4759.474337039364,8.746207237243652,41627.348892089125,0.0,87.10323333740234,0.0,0.0,95.80232238769531,0.0,382.8718566894531,76.2845458984375,65.60778045654297
2022-12-13,421886.39490087103,1.0541739463806152,400205.67416731303,-1.4210854715202004e-14,0,0.0,89.37263488769531,0.0,4484.425871455598,14.141060829162598,63414.53903212411,0.0,79.30506134033203,0.0,0.0,66.05615234375,0.0,871.4400115103523,24.558629989624023,21401.37280083644,3665.8607899837657,17.065725326538086,62560.57332718887,1332.4229347602131,31.701007843017578,42239.14990505001,1441.1333429423744,44.141845703125,63614.285661791015,1331.5382186215463,31.83531379699707,42389.93702251142,2884.938707455879,29.291406631469727,84503.91278695683,4759.474337039364,8.774629592895508,41762.62436441233,0.0,87.11190795898438,0.0,0.0,95.83715057373047,0.0,385.7701416015625,77.69574737548828,66.05615234375
2022-12-14,420226.9779369992,1.062665343284607,395446.205705847,-1.4210854715202004e-14,0,0.0,89.57032012939453,0.0,4484.425871455598,14.088295936584473,63177.918782742185,0.0,79.33108520507812,0.0,0.0,66.2175521850586,0.0,871.4400115103523,24.40373992919922,21266.39540479701,3665.8607899837657,16.941213607788086,62104.13069952976,1332.4229347602131,31.69236183166504,42227.6297612297,1441.1333429423744,44.04780578613281,63478.76160184604,1331.5382186215463,31.71952247619629,42235.756453480506,2884.938707455879,29.2365779876709,84345.73551018428,4759.474337039364,8.6964750289917,41390.64972318966,0.0,87.11190795898438,0.0,0.0,95.82843017578125,0.0,383.30377197265625,77.16654205322266,66.2175521850586
2022-12-15,415792.42482896766,1.0676347017288208,389451.9578238465,-1.4210854715202004e-14,0,0.0,89.70179748535156,0.0,4484.425871455598,14.020453453063965,62873.68419445902,0.0,79.34839630126953,0.0,0.0,66.2534408569336,0.0,871.4400115103523,24.11488914489746,21014.67927400031,3665.8607899837657,16.933889389038086,62077.28113319686,1332.4229347602131,31.17337989807129,41536.12633018318,1441.1333429423744,43.34254455566406,62462.38612713296,1331.5382186215463,30.77871322631836,40983.03298083538,2884.938707455879,29.12694549560547,84029.45249022987,4759.474337039364,8.575691223144531,40815.78229893011,0.0,87.14414978027344,0.0,0.0,95.874755859375,0.0,373.9274597167969,76.1346206665039,66.2534408569336
2022-12-16,411194.4755651988,1.064056158065796,386440.5768889621,-1.4210854715202004e-14,0,0.0,89.4676284790039,0.0,4484.425871455598,13.839546203613281,62062.419044688504,0.0,79.34839630126953,0.0,0.0,66.08304595947266,0.0,871.4400115103523,23.911909103393555,20837.794344295777,3665.8607899837657,16.655563354492188,61056.97663632339,1332.4229347602131,30.931182861328125,41213.417443695624,1441.1333429423744,42.95856857299805,61909.0255356239,1331.5382186215463,30.525428771972656,40645.775049691365,2884.938707455879,28.978134155273438,83600.14089439761,4759.474337039364,8.376749992370605,39868.92661648259,0.0,87.15289306640625,0.0,0.0,95.8922119140625,0.0,369.5128173828125,74.167724609375,66.08304595947266
