month,value_start_eur,value_end_eur,monthly_return,monthly_max_dd,income_withdrawn_eur,riskoff_days_pct,bm_SPY_monthly_return,bm_VNQ_monthly_return,bm_BND_monthly_return
2022-12,399280.15127122373,385364.00254136394,-0.03485309421355831,-0.044834665316242917,0.0,0.0,,,
2023-01,383599.67869413167,404980.3608378427,0.05573696572556108,-0.018684818780590362,0.0,0.0,,,
2023-02,407577.0040890448,422580.01534970326,0.036810249621886726,-0.01616051926457518,0.0,0.0,,,
2023-03,421476.7327749205,406957.1752775716,-0.03444925038152169,-0.07206957601339437,0.0,0.0,,,
2023-04,410769.4343418979,412491.583035326,0.004192494741453112,-0.026181254040611668,0.0,0.0,,,
2023-05,414064.48723202926,425833.47515667696,0.028423079707516008,-0.032343448667366714,0.0,0.0,,,
2023-06,426755.61358994315,436062.51849974506,0.021808511976000977,-0.031932372135882625,0.0,0.0,,,
2023-07,434481.84545948874,448073.1936314751,0.03128174010956131,-0.018707237941927746,0.0,0.0,,,
2023-08,446377.35814942734,446515.5860220957,0.00030966595895765003,-0.027546301437506693,0.0,0.0,,,
2023-09,448331.85741077585,457196.2905400465,0.019772034895010338,-0.019976657421165722,0.0,0.0,,,
2023-10,457072.3620356802,444089.4387464792,-0.028404524901436745,-0.04524460110887596,0.0,0.0,,,
2023-11,452777.73089314357,457878.2114706316,0.011264866245578986,-0.021558121082569937,0.0,0.0,,,
2023-12,463163.124001809,548235.1363612699,0.18367613471561395,-0.02015282352862513,0.0,0.0,,,
2024-01,548846.6442363738,575490.9763074139,0.04854604168731158,-0.01288512724013502,0.0,0.8695652173913043,,,
2024-02,578089.0164444796,585372.8392024408,0.012599829006889163,-0.010166836071477836,0.0,0.7142857142857143,,,
2024-03,587958.0498471409,613662.5165086405,0.04371819837857882,-0.012246098202713607,0.0,0.0,,,
2024-04,611388.9660672712,622369.777887111,0.017960435057363444,-0.014257336269845156,0.0,0.0,,,
2024-05,622999.1078994727,627967.9356451004,0.007975657882369758,-0.018654248244967753,0.0,0.0,,,
2024-06,626942.3686292559,637840.783793667,0.017383440184844057,-0.007277014122635039,0.0,0.0,,,
2024-07,636615.6719611459,636616.1791907669,7.967595572200281e-07,-0.029662736088732933,0.0,0.0,,,
2024-08,633889.738563187,621411.9544756524,-0.019684470860527603,-0.06717158825249858,0.0,0.4230769230769231,,,
2024-09,623303.431216921,625829.0133607817,0.004051930436079765,-0.021928644782118645,0.0,1.0,,,
2024-10,627940.0063488476,647995.1169181425,0.03193794051426213,-0.016762023700330753,0.0,0.6153846153846154,,,
2024-11,644727.5510498956,704581.2503846654,0.09283564699120128,-0.00897334303784747,0.0,0.0,,,
2024-12,703419.8433211112,802188.5513589421,0.14041217201309886,-0.024718471571722134,0.0,0.0,,,
2025-01,811507.1874797227,837534.9552469772,0.032073366901516076,-0.02424129666441166,0.0,0.0,,,
2025-02,848732.1828519314,834952.1361482671,-0.016236036504896356,-0.042601203977122415,0.0,0.0,,,
2025-03,825720.6492464988,769757.4167074839,-0.06777501881548376,-0.10681175339367222,0.0,0.5,,,
2025-04,778259.4928177837,722202.5230842127,-0.0720286360152318,-0.11892491536955152,0.0,1.0,,,
2025-05,722571.1421632566,745322.778377481,0.03148705350466918,-0.025472396076354875,0.0,0.8461538461538461,,,
2025-06,746837.4446569466,737903.0961864955,-0.011962909110100894,-0.023988526877740113,0.0,0.0,,,
2025-07,738887.6168567496,786180.5520265185,0.0640055863582536,-0.015965146317542644,0.0,0.0,,,
2025-08,777209.0080070354,772391.5125637127,-0.006198455490983079,-0.022955404355421982,0.0,0.0,,,
2025-09,770797.1227710423,745669.7188970671,-0.032599244511501646,-0.03938398985265512,0.0,0.6538461538461539,,,
2025-10,741182.8058035497,754700.4678075731,0.01823795951306284,-0.02127431305731231,0.0,1.0,,,
2025-11,757202.347200142,761079.4881750431,0.00512034991602639,-0.025935293956564465,0.0,1.0,,,
2025-12,759348.734059819,832413.006968252,0.09621965459506154,-0.02442650571295235,0.0,1.0,,,
